username,location,text,tweet_date,hashtags_extracted
Dr Stephen Sroka,,"A small percentage who are fully vaccinated will still get #COVID19 .
115 million US people have been fully vaccinated. 1,359 vaccine breakthrough cases were reported in patients who were hospitalized or died. Do the math. (0.00001) Get the vaccine.
https://t.co/pm4qJekSv1",2021-05-15 22:36:40,covid19
Cognisance is bliss,"London, England","#vaccine #COVID19 @ukcolumn have compiled a filterable database of the UK government’s / MHRA yellow card data of adverse reactions to the various covid vaccines check it out here: https://t.co/tWJemCCJJY…
Source data buried here https://t.co/nFRlztlHfG",2021-05-15 22:36:15,"vaccine,covid19"
𝕿𝖍𝖔𝖒𝖆𝖘·王 🍁,"Vancouver 溫哥華, Canada 加拿大 🇨🇦",What we know about Cuba's homegrown vaccine campaign https://t.co/iFgYrw2WuK via @CTVNews #COVID19 #COVID_19 #COVIDVaccine #COVID19Vaccine,2021-05-15 22:35:27,"covid19,covid_19,covidvaccine,covid19vaccine"
André Picard,,"For all the talk of vaccine passports, we’re essentially going to have to depend on the honor system for most interactions, by ⁦@ibogost⁩ via ⁦@TheAtlHealth⁩ #COVID19 #vaccination  https://t.co/Be7hLw7pBn",2021-05-15 22:34:40,"covid19,vaccination"
UN Humanitarian,,"🚨 87% of #COVID19 vaccine doses have been given in high-income countries, while deadlier variants spread in conflict-affected areas.

New @RESCUEorg report highlights the need for #VaccinEquity:

https://t.co/RWS6ykTmUt https://t.co/t9ns8GEuaG",2021-05-15 22:29:29,"covid19,vaccinequity"
🔛 Enrico Molinari #FinTech #MarTech 🇮🇹🇪🇺🇺🇸,🇮🇹 🇪🇺 🇺🇸    ,"#COVID19 vaccine success can enable universal healthcare https://t.co/WquyEMr08y https://t.co/rp6pVS3GXi @wef via @enricomolinari

#ehealth #mhealth #medtech #smartcities #blockchain #banking #fintech #finserv #insurtech #proptech #VC #marketing #GovTech #OpenPA #AI #bigdata #ESG",2021-05-15 22:29:00,"covid19,ehealth,mhealth,medtech,smartcities,blockchain,banking,fintech,finserv,insurtech,proptech,vc,marketing,govtech,openpa,ai,bigdata,esg"
Lishka,,"Covid-19 vaccine mandates are WELCOME by majority of young Americans, survey shows #bullshit #GaslightTheWorld #Nazi  https://t.co/uNEKU7tTRE",2021-05-15 22:25:40,"bullshit,gaslighttheworld,nazi"
SRAI,,"@ImaLindatoo The final insult: Some dying of #COVID while awaiting vaccine https://t.co/NjVFpLCYov More than 247,000 people have died of #COVID19 in the U.S. since #vaccines first became available mid-December. https://t.co/Dd1kPCg4UH",2021-05-15 22:25:22,"covid,covid19,vaccines"
"Hank ""fully vaccinated"" Stalica",California,"Day #495 of the #pandemic:  2/3 of Californians have at least one shot:

https://t.co/48JTTLov2s

#VaccinesWork  #Corona   #COVIDIOTS #doyourpart #GetVaccinated #doyourduty #letsgetbacktonormal  #COVID19",2021-05-15 22:13:40,"pandemic,vaccineswork,corona,covidiots,doyourpart,getvaccinated,doyourduty,letsgetbacktonormal,covid19"
Kristine Barnette,,"Can someone please explain to me why Trump supporters are so anti-covid vaccine? Y’all know he got the vaccine right?... Like as soon as it was available to him. 
#COVID19 #vaccine #confused",2021-05-15 22:13:33,"covid19,vaccine,confused"
Lena Bundtzen,"Campbell, CA",Schools Host Local COVID-19 Vaccine and Testing Clinics | Campbell Union School District https://t.co/NXhtQ6kcGl,2021-05-15 22:06:05,
Margaret Hampton,"Gainesville, Tampa, Florida","COVID-19 vaccine manufacturers define “effectiveness” as “reduction in risk of SYMPTOMS such as a fever, cough or sore throat."" NONE of the vaccine trials showed the vaccine prevented people from getting COVID-19 or prevented spread.
#COVID19 #vaccine #TruthMatters",2021-05-15 22:05:20,"covid19,vaccine,truthmatters"
𝐒𝚴𝚨𝚸𝚸𝚬𝐑𝐒 𝐌𝐎𝐂𝚨𝚸𝐒,The only one here.,"@mum_on_bike @JamesMelville Just turn it around on them, this should hit the spot: 

'As far i know we still live in a democratic country, your jackboots will have to wait'.

.
#AntiVaxxers #COVID #COVID19 #Vaccine",2021-05-15 22:03:44,"antivaxxers,covid,covid19,vaccine"
Margaret Hampton,"Gainesville, Tampa, Florida","During the first 4 months of 2021, the US government VAERS database has more reported deaths after receiving COVID-19 vaccines than deaths after all other vaccines COMBINED over the past two decades.
#COVID19 #vaccine #Death #TruthMatters #science",2021-05-15 22:02:36,"covid19,vaccine,death,truthmatters,science"
AMA,Chicago/Washington D.C.,"Looking for the latest in #COVID19 vaccine developments? We've compiled updated science and evidence-based resources on the status of vaccinations, including what physicians should know. Stay up to date: https://t.co/BaO2MwAyJg #VaccinesWork",2021-05-15 22:00:00,"covid19,vaccineswork"
NeverSettles.Crypto,Pluto,"“Vaccination is up to each individual, not the government.”
SAY NO TO VACCINE PASSPORTS 👎🙅‍♂️
#COVID19
https://t.co/FlAcLK23uu",2021-05-15 21:55:15,covid19
💧🐝❄️🐠Steve Moskal - Masks reduce aerosol 😷,Sydney,Would people come to Australia knowing the #covid19 virus wold run rampant with far more contagious variants with very limited vaccine availability and no timeframe when wider vaccine coverage would occur ? #auspol #health https://t.co/ro5jMf2mfy,2021-05-15 21:50:40,"covid19,auspol,health"
Dr. Yasmina Abouzzohour,,"2/2 You can read more from our @BrookingsInst #COVID19 Project below. Stay tuned for more on Covid-19 #vaccine rollout #inequality, implications for #publicsector reform, economic &amp; #fiscal consequences, &amp;the impact on authoritarian policies.@BrookingsDoha
https://t.co/QXqz08HcMa",2021-05-15 21:50:18,"covid19,vaccine,inequality,publicsector,fiscal"
Trying to dodge the plague.,"British Columbia, Canada","Crunching numbers: vaccines &amp; politics in #Alberta
#COVID19 #cdnpoli https://t.co/AoSh49KVDd",2021-05-15 21:47:06,"alberta,covid19,cdnpoli"
ITM Group,South Florida,What Healthcare Employers Need to Know About Mandating the COVID-19 Vaccine https://t.co/UaRGaNrgGJ (via @buchanannews) #HR #COVID19 #Business https://t.co/CtNoLN7XTR,2021-05-15 21:47:03,"hr,covid19,business"
Mark Williams Life Coaching,,"#Cure for #Covid19 #Covid #ChlorineDioxide 

PLEASE SHARE FAR AND WIDE AND #RETWEET

Lets stop this supporession of available cures just so #Vaccine companies can exploit millions with experminental vaccine.

https://t.co/aHqHulKwzC",2021-05-15 21:46:34,"cure,covid19,covid,chlorinedioxide,retweet,vaccine"
POST Online Media,World,Most vulnerable in UK offered second dose of COVID-19 vaccine https://t.co/vLeQ9XRFaW #Health https://t.co/eQQT8822Zi #news #explore #follow 434,2021-05-15 21:45:02,"health,news,explore,follow"
Kristen MacKenzie,"Windsor, Ontario","Just booked my COVID 19 vaccine for Sunday May 23, 2021 @ 1:30pm for the Pfizer vaccine. To book your appointment, visit: https://t.co/NGuQn5K1ts 💉#YQG #Windsor #WindsorOntario #COVID #COVID19",2021-05-15 21:40:20,"yqg,windsor,windsorontario,covid,covid19"
Androvett Legal News,"Headquarters: Dallas, TX","When it comes to children and the #COVID19 vaccine, Orsinger Nelson Downing &amp; Anderson #FamilyLaw attorneys Holly Rampy Baird and Paula Bennett discuss which parent makes the decisions when co-parenting https://t.co/G0MPPGB3YW",2021-05-15 21:31:00,"covid19,familylaw"
Obergruppenführer Matthaeus Handkoch 🌸,UK,"Wake up!
#covid #coronavirus #COVID19 #pandemic #vaccine https://t.co/jufXmM9ITw",2021-05-15 21:23:39,"covid,coronavirus,covid19,pandemic,vaccine"
"Karim Hanna, MD","Tampa, FL",#vaccine for #COVID19 - we have to do our part to encourage and reach those who otherwise wouldn’t make it to #clinics #COVID #coronavirus #change @USFHealthMed @FloridaManMD https://t.co/8MaOOvSv4g,2021-05-15 21:16:39,"vaccine,covid19,clinics,covid,coronavirus,change"
Colorado Department of Public Health & Environment,Colorado,"Are you unsure about the COVID-19 vaccine? Your questions matter. Get the facts about the COVID-19 vaccines at https://t.co/vP9W2By7XR 

#VaccineFactsCO https://t.co/Tv5uixrrH0",2021-05-15 21:10:00,vaccinefactsco
Olivia Zapata,,Just got a COVID vaccine at @fordfield  with zero waiting time. Come on down! #COVID19 #coronavirus #CoronaVaccination @MichiganHHS,2021-05-15 21:06:44,"covid19,coronavirus,coronavaccination"
Andrew,Canada,"""He predicts — based on global trends — that adverse effects could potentially hit one in every 22,000 people who get the AstraZeneca jab — five times what was predicted.""
#COVID #COVID19 #CoronavirusPandemic #coronavirus #AstraZeneca #astrazenecavaccine 
https://t.co/MsYZqJWxFb",2021-05-15 21:05:15,"covid,covid19,coronaviruspandemic,coronavirus,astrazeneca,astrazenecavaccine"
NotesFrom.NET,,"#Facebook has a lengthy guide to the type of anti-vaccine content it bans from its site, which includes a prohibition on “Claims that something other than a #COVID19 vaccine can vaccinate you against COVID-19” and",2021-05-15 21:01:50,"facebook,covid19"
Beverly A. Pekala,Chicago Illinois,"Hey YOU, yeah YOU, all YOU people who laughed and rolled your eyes and said vaccine passports were a crazy conspiracy theory that would NEVER happen.
You may now apologize to every single person who told you it was coming.
#vaccine #passport
#COVID19 
https://t.co/ol6VYLRDNA",2021-05-15 20:57:13,"vaccine,passport,covid19"
Becky Morin,,I got vaccinated!! #vaccine #covid #COVID19 #2021 #pandemic #coronavirus #praying #pray https://t.co/PkqiULUK5z,2021-05-15 20:55:44,"vaccine,covid,covid19,pandemic,coronavirus,praying,pray"
Feby Indri,"Austin, Texas","Biden’s decision in waiving #intellectualproperty protections for #COVID19 vaccines is the very step the world, including countries like India, needed in the fight against the pandemic.
https://t.co/ota3JnxIoJ",2021-05-15 20:51:41,"intellectualproperty,covid19"
Farrakhan Fans,Wherever Farrakhan Speaks,"Minister Farrakhan Speaks at Saviours Day 2021 COVID Vaccine Town Hall https://t.co/DOWD7mANLA #AQMvidio #vaccine #COVID19

https://t.co/DOWD7mANLA",2021-05-15 20:50:00,"aqmvidio,vaccine,covid19"
Bobby Stuckey,"Boulder, CO",Did you get your COVID-19 vaccine appointment? Find a vaccine near you at https://t.co/Chy593mQZK or call 877-CO-VAX-CO. #PowertheComeback #DoingMyPartCO #COVIDVaccine @ Frasca Food &amp; Wine https://t.co/NjzUgZGP9q,2021-05-15 20:49:16,"powerthecomeback,doingmypartco,covidvaccine"
Jayqwellin,"Philadelphia, PA","Dear Mr. Steven Johnson (author) of 2006,

We in it.

#pandemic #coronavirus #vaccine #vaccinated #corona #COVID19 #covid_19 #lockdown #Masks #theGhostMap #cholera https://t.co/qMZwFxVnlV",2021-05-15 20:48:30,"pandemic,coronavirus,vaccine,vaccinated,corona,covid19,covid_19,lockdown,masks,theghostmap,cholera"
"Erie County, NY","Erie County, NY","Get vaccinated right in your own home! Our new ""Vax Visits"" program makes it even easier to get your COVID-19 vaccine. Call the Erie County Department of Health (@ECDOH) at (716) 858-2929, 8:30 AM – 5 PM,  Monday – Friday.

More information online at: https://t.co/OqAwc6bUyk https://t.co/WKBzrMjhGd",2021-05-15 20:48:01,
Tamil Canadian Centre for Civic Action,,"If you are trying to become pregnant or plan to try in the future, you may receive the #COVID19 vaccine when it becomes available to you. There is no association between COVID-19 vaccines and fertility problems. Visit https://t.co/WmSTlxeC2F to learn more. https://t.co/3nbIoJePq8",2021-05-15 20:47:46,covid19
The Twelfth imam,,"Imam #Reza : Whoever alleviates a believer’s worries, #God will alleviate his #heart on the #Day of Resurrection.

#Jesus #Science #vaccine #Warzone
#quotes #Bible #TwitterBlue
#leadership #coronavirus
#justice #COVID19 #quote
#Xbox #Covid_19 #FACupFinal 
https://t.co/kg4FpU5hfZ https://t.co/i9SBu3uS5H",2021-05-15 20:45:05,"reza,god,heart,day,jesus,science,vaccine,warzone,quotes,bible,twitterblue,leadership,coronavirus,justice,covid19,quote,xbox,covid_19,facupfinal"
Healthy SCC,San Jose,"60 new COVID-19 cases, which reflect new diagnoses over the past several days.  
 
Of residents 16+: 
74.7% received at least one vaccine dose 
57.6% completed vaccination 
 
Data on deaths will be updated Monday through Friday. 
 
Data dashboards: https://t.co/GZipv76u6M https://t.co/FpyXmWJ4V1",2021-05-15 20:45:04,
Santa Clara County,"Silicon Valley, CA","60 new COVID-19 cases, which reflect new diagnoses over the past several days.  
 
Of residents 16+: 
74.7% received at least one vaccine dose 
57.6% completed vaccination 
 
Data on deaths will be updated Monday through Friday. 
 
Data dashboards: https://t.co/VG5zv7ao3b https://t.co/XrCdrnk0MD",2021-05-15 20:45:03,
Santa Clara OEM,"San Jose, CA","60 new COVID-19 cases, which reflect new diagnoses over the past several days.  
 
Of residents 16+: 
74.7% received at least one vaccine dose 
57.6% completed vaccination 
 
Data on deaths will be updated Monday through Friday. 
 
Data dashboards: https://t.co/NLZJFAiwZW https://t.co/YZ4hQGvDsi",2021-05-15 20:45:03,
POST Online Media,World,Most vulnerable in UK offered second dose of COVID-19 vaccine https://t.co/vLeQ9XRFaW #Health https://t.co/eQQT8822Zi #news #explore #follow 418,2021-05-15 20:45:01,"health,news,explore,follow"
Sumblina Hassan,,"All new employees will be required to have Covid-19 vaccine, Delta Air Lines announces — RT USA News https://t.co/lRqQKegbj9 #",2021-05-15 20:39:13,
Marisa Rich,"Oakland, CA",Don’t fund medical apartheid! Tell Congress to demand that the Israeli government fulfill its legal obligation to provide the #COVID19 vaccine to Palestinians living under apartheid: https://t.co/Dovko8tDPD,2021-05-15 20:36:21,covid19
The Twelfth imam,,"#Wisdom

Imam #Ali(s): Generosity clears away #sins and attracts the #love of the #hearts.

#Jesus #Science #vaccine #Warzone #CDC
#quotes #Bible #sport #quoteoftheday
#leadership #Politics #coronavirus
#justice #COVID19 #quote
#Xbox #Covid_19 #FACupFinal 
https://t.co/YkbLULzx0x https://t.co/yVEsnWgQV3",2021-05-15 20:32:55,"wisdom,ali,sins,love,hearts,jesus,science,vaccine,warzone,cdc,quotes,bible,sport,quoteoftheday,leadership,politics,coronavirus,justice,covid19,quote,xbox,covid_19,facupfinal"
NüVoices 女性之音,Worldwide,"NüVoices member, epidemiologist @jules__shen, will be reviewing these resources. Thanks for your help! 

Our chair @joannachiu recently interviewed a doctor who answered common questions about #vaccinesafety in Mandarin and Cantonese: https://t.co/1hFtYU5c2F #vaccines #COVID19",2021-05-15 20:29:33,"vaccinesafety,vaccines,covid19"
Jeff Justiz 💉⏳,"Toronto, ON","I got #MyCOVIDvax! When it's your turn to get the #COVID19 vaccine, add the pink bandage to your profile. https://t.co/WgUi1ixruX",2021-05-15 20:25:42,"mycovidvax,covid19"
Marilyn Pokorney,"Nebraska, USA",COVID-19 life after vaccination: What Canadians will be allowed to do this summer and fall https://t.co/VXFrwk118S,2021-05-15 20:25:33,
RT News Wire,United States,"US Scientist makes inaccurate claims on Covid-19 vaccine safety, Health ... https://t.co/nWFkvnpLMh via @YouTube #Gaza #GazaUnderAttack #COVID19 #CovidIndia #IndiaFightsCOVID19 #IndiaNeedsOxygen https://t.co/SMw995TfXA",2021-05-15 20:25:21,"gaza,gazaunderattack,covid19,covidindia,indiafightscovid19,indianeedsoxygen"
VT Dept of Health,Vermont,#COVID19 vaccines are new &amp; it’s normal for people to have questions about them. The sheer amount of information - misinformation - about COVID-19 vaccines can be overwhelming to anyone. Here are tips on talking to people about the vaccine: https://t.co/YZH5fSVNx9 #Vermont https://t.co/Xn47ayR3bj,2021-05-15 20:25:04,"covid19,vermont"
Ministry of Health,Trinidad and Tobago,"Trinidad and Tobago COVID-19 (Novel Coronavirus) Update #725. Additional details related to the COVID-19 update are available on the Ministry of Health's website via https://t.co/uIDcmY5yu0.
     
👉 Visit https://t.co/4o0f75tT1l for more information on the COVID-19 Vaccine. https://t.co/tCcQBxqeEz",2021-05-15 20:22:48,
Dr. Thomas Wilckens,"München, Bayern","World’s Most Vaccinated Nation Is Spooked by #Covid Spike https://t.co/A3nuJbNjvt Note, 60% vaccinated, yet with China’s Sinopharm vaccine; will we see (more) immune escape #mutations? #covid19 #coronavirus #pandemic https://t.co/T6PEBO5aWY",2021-05-15 20:22:03,"covid,mutations,covid19,coronavirus,pandemic"
Timmo,Kings Cross Sydney,"@RideSoulSurf @flemsha @AndrewHayen Our Kiwi bros are not vaccinating even vaccinating all over 65s (group 3) yet, let alone over 50s.

They (like us) don't have enough Pfizer to do that.

https://t.co/rEai8Nnhc3",2021-05-15 20:20:20,
Jesus Online,Heaven is my home,"#God #COVID #vaccinated #CovidVaccines #Pfizer #Moderna #AstraZenaca #vaccineinjuries #vaccinedeaths #CovidVaccines #NoVaccines #DoNotComply

DO NOT TAKE THE #VACCINES

World Awakens to Chicom/Gates #DEPOPULATION Operation Through #Covid19 #Vaccine Attack

https://t.co/UwgyLoPOS5",2021-05-15 20:19:37,"god,covid,vaccinated,covidvaccines,pfizer,moderna,astrazenaca,vaccineinjuries,vaccinedeaths,covidvaccines,novaccines,donotcomply,vaccines,depopulation,covid19,vaccine"
BillKenn,,"how come covid disappeared in china by May 2020, but uk gov asserts it is still happening a year later? SARS disappeared within a year 2003-2004 and covid is 80% SARS
#vaccination #VaccinesWork #vaccines #vaccine #Covid19UK #COVID19Vaccine #COVID19 #CovidVaccine #COVID",2021-05-15 20:15:10,"vaccination,vaccineswork,vaccines,vaccine,covid19uk,covid19vaccine,covid19,covidvaccine,covid"
Covid Waves,South Africa,"An Open Letter from Pfizer Chairman &amp; CEO Albert Bourla on COVID-19 vaccine intellectual property (IP)
waiver

https://t.co/l9KiYSQOQk 
#Pfizer #COVID19  #vaccines",2021-05-15 20:15:03,"pfizer,covid19,vaccines"
FL Health Duval,"Jacksonville, FL","FACT: #COVID19 vaccination helps keep you from getting COVID-19.
The vaccines currently available in the United States are effective at preventing COVID-19, and are important tools to stop the pandemic.
Learn more: https://t.co/pjD3nPlsTW https://t.co/Va1C2l4syq",2021-05-15 20:15:00,covid19
🌙 Susan Rodriguez 🌙,Diagon Alley,Nothing like celebrating your second dose of the Covid vaccine and then finding out 3 hours later that you were directly exposed to someone who tested positive. FML. #COVID19,2021-05-15 20:12:23,covid19
Bloomberg Quicktake,,"“We’ll get to have normal school. We’ll get to see people’s smiles on their faces.”

💉 Adolescents in New Orleans get #Covid19 vaccines after the CDC backed the use of Pfizer’s shot in those ages 12 to 15 https://t.co/nkUkZIpb0R https://t.co/39R1Z1ldpl",2021-05-15 20:12:08,covid19
Dissecting COVID19,,"Imagine making slow but steady progress over 20 years of living with #MECFS, only to have a return to severity w/in hrs of vaccination. 

The same outcome, and likely worse, could have happened if she had been exposed instead to a #COVID19 re/infection.

https://t.co/KgE39LFk2b https://t.co/CYauGuqzfF",2021-05-15 20:11:20,"mecfs,covid19"
The Twelfth imam,,"#Wisdom

Imam Sadiq(S): There is no life more satisfying than [one lived with] #good character.

#Jesus #Science #vaccine #Warzone
#quotes #Bible #sport #quoteoftheday
#leadership #Politics #coronavirus
#justice #COVID19 #quote
#Xbox #Covid_19 #FACupFinal 
https://t.co/F9Y1Q0CJpI https://t.co/9q5yo54Epz",2021-05-15 20:06:20,"wisdom,good,jesus,science,vaccine,warzone,quotes,bible,sport,quoteoftheday,leadership,politics,coronavirus,justice,covid19,quote,xbox,covid_19,facupfinal"
Antonio Iodice,,"🇮🇹 💉 Covid-19: Change and rescaled ratio death and positive cases in Italy for 4 delays, up-to-date #vaccino #vaccine #COVID19 https://t.co/WTjD0nXmoe",2021-05-15 20:05:50,"vaccino,vaccine,covid19"
Sameer Sethi,"Texas, US","The #COVID19 pandemic has shown that we are unprepared for future breakouts.A rigorous response depends on financing, technology transfer, effective diagnostics and vaccine access.
We need to empower developing countries to manufacture and regulate vaccines.
#covid #PublicHealth https://t.co/dGWmu01ufG",2021-05-15 20:05:03,"covid19,covid,publichealth"
Jesus Online,Heaven is my home,"#COVID #CovidVaccines #Pfizer #Moderna #DEPOPULATION #vaccineinjuries @DrMadej #NoVaccines @BusyDrT

MESSAGE FROM #God ✝️
DO NOT TAKE THE #VACCINES
DO NOT GIVE YOUR #CHILDREN THE #VACCINE!

Doctor: Study Proves Deadly #Covid19 Injections 100% Premeditated

https://t.co/mLUKGiELJU",2021-05-15 20:02:16,"covid,covidvaccines,pfizer,moderna,depopulation,vaccineinjuries,novaccines,god,vaccines,children,vaccine,covid19"
Vallabh Ozarkar,Mumbai,"The @NMMCCommr Navi Mumbai corporation will be second civic body in the state to float a global tender to procure anti #COVID19 vaccine. The tender will be floated on Sunday to procure 4lakh vaccines &amp; deadline of the tender will be May 22.
@drharshvardhan
https://t.co/lfHvyBv92s https://t.co/zQbU2xUUK6",2021-05-15 20:01:59,covid19
Ana Bailão,"Toronto, Ontario",Received your 1st dose of the AstraZeneca vaccine? It provides great protection from serious illness from #COVID19 &amp; you are helping to stop the spread of #COVID19. Learn more here: https://t.co/ZxxW6MuGyp https://t.co/0yuinAseoC,2021-05-15 20:00:35,"covid19,covid19"
TFD Supplies - 55 Cent Earbuds,"Fairview Heights, IL","Tyler's Hot Take on getting vaccinated

#hottake #covid19 #vaccine #covid https://t.co/Ew6ibpPlTy",2021-05-15 20:00:32,"hottake,covid19,vaccine,covid"
Conquer COVID-19 Together Louisiana,"Lafayette, LA","Region 1 Medical Director Dr. Shantel Hebert-Magee discusses how the process of the mRNA vaccine development actually began decades ago. That research, combined with political and public will, resulted in today’s COVID-19 vaccines. #ReachOutStayWell #ConquerCovid19LA #COVID19 https://t.co/df6QY1q603",2021-05-15 20:00:30,"reachoutstaywell,conquercovid19la,covid19"
Spectrum Health,"Grand Rapids, MI, USA","Protecting family members is another good reason to get the COVID-19 vaccine. “I just want to keep my great-grandmother around,” Randell Jones, 18, said. “This is for her.” Vaccines are easy to schedule at https://t.co/wMTS0ejak9. #ThisIsBig #InThisTogether https://t.co/KlUNZUbt7c",2021-05-15 20:00:20,"thisisbig,inthistogether"
Abhishek,India,This COVID-19 vaccine tracker will notify you when vaccine slots become available near your location 🇮🇳 https://t.co/f867R91fs5 via @labnol,2021-05-15 20:00:12,
Regis University,"Denver, CO 80221","Loretto Heights School of Nursing Asst. Prof. Holly Vali, FNP, and two students explain how to treat COVID-19 vaccine side effects.  https://t.co/P9ncmTpoHc 

#ThisIsRegis #CovidVaccine #COVID19 https://t.co/dVorPz6S80",2021-05-15 20:00:00,"thisisregis,covidvaccine,covid19"
Market The Internet,USA,"@beetlechocolate Maybe after the trials are over and it’s absolutely certain it doesn’t make you sterile.  Probably won’t get it, an experimental “vaccine” over a cold with 99.97% full recovery rate?  It’s killing people are a faster rate than covid! https://t.co/SKKj9Fn4SQ",2021-05-15 19:59:19,
The Twelfth imam,,"#Wisdom

#Leader of believers, Imam #Ali(s): In adhering to the 
#truth there is #prosperity.

#Jesus #Science #vaccine #Warzone
#quotes #Bible #sport #quoteoftheday
#leadership #Politics #coronavirus
#justice #COVID19 #quote
#Xbox #Covid_19 #FACupFinal 
https://t.co/YkbLULzx0x https://t.co/p6qGHgwbzA",2021-05-15 19:58:04,"wisdom,leader,ali,truth,prosperity,jesus,science,vaccine,warzone,quotes,bible,sport,quoteoftheday,leadership,politics,coronavirus,justice,covid19,quote,xbox,covid_19,facupfinal"
CEPI,Global,"From July, all #COVID19 vaccine developers will be able to use our network of labs to assess performance of their candidate vaccines against priority variants of concern 🔬👇
https://t.co/AGe2a8TTi0",2021-05-15 19:56:15,covid19
Gas Station Sushi,,"@mtgreenee Israel Palestine Jerusalem Rudy Giuliani #BLM #COVID19 #coronavirus Joe Biden vaccine #Covid_19 Liz Cheney Boebert GOP GQP QAnon Gaetz ADDERALL Nestor No Trump Greenberg Adderall Proud Boys Marjorie Taylor Greene TREASON Jan. 6 Capitol riots Hannity CRIME OF THE CENTURY 
.
.
. https://t.co/cHy4HvvUk0",2021-05-15 19:54:53,"blm,covid19,coronavirus,covid_19"
Gas Station Sushi,,"Israel Palestine Jerusalem Rudy Giuliani #BLM #COVID19 #coronavirus Joe Biden vaccine #Covid_19 Liz Cheney Boebert GOP GQP QAnon Gaetz ADDERALL Nestor No Trump Greenberg Adderall Proud Boys Marjorie Taylor Greene TREASON Jan. 6 Capitol riots Hannity CRIME OF THE CENTURY 
.
.
. https://t.co/Op57nf0iCr",2021-05-15 19:53:11,"blm,covid19,coronavirus,covid_19"
The Twelfth imam,,"#Wisdom

#prophetMuhammad(s): The #best of #people is the one whom others profit by.

#Jesus #Science #vaccine #Warzone #CDC
#quotes #Bible #sport #quoteoftheday
#leadership #Politics #coronavirus
#justice #COVID19 #quote #Gaza
#Xbox #Covid_19 #FACupFinal 
https://t.co/YkbLULzx0x https://t.co/RZ0NSEuMGW",2021-05-15 19:50:44,"wisdom,prophetmuhammad,best,people,jesus,science,vaccine,warzone,cdc,quotes,bible,sport,quoteoftheday,leadership,politics,coronavirus,justice,covid19,quote,gaza,xbox,covid_19,facupfinal"
JoJo,,"Vaccinated 

You do not have to wear a mask anymore
Potential long term side effects from the vaccine
Potentionially get covid  
Potentionaly have symptoms or no symptoms from covid 
Still can spread covid to others 
Potentially die from covid 
#COVID #CDC #COVID19 #Unvaccinated",2021-05-15 19:50:17,"covid,cdc,covid19,unvaccinated"
Lisa Osborn,"Santa Barbara, CA",for now #SantaBarbara #Ventura #SLO County is asked to continue to wear masks... even at local @TraderJoesList &amp; Costco + #COVID19  #Vaccine clinic coming to #IslaVista next weekend click below 3 details &amp; other Central Coast COVID News https://t.co/hvPZyv6umq,2021-05-15 19:46:11,"santabarbara,ventura,slo,covid19,vaccine,islavista"
POST Online Media,World,Most vulnerable in UK offered second dose of COVID-19 vaccine https://t.co/vLeQ9XRFaW #Health https://t.co/eQQT8822Zi #news #explore #follow 789,2021-05-15 19:45:02,"health,news,explore,follow"
Robert Zaichkowski,Toronto,"I got #MyCOVIDvax! When it's your turn to get the #COVID19 vaccine, add the pink bandage to your profile. https://t.co/2WINdqmDSt",2021-05-15 19:44:58,"mycovidvax,covid19"
Type 2 Musings - Corinna Cornejo,"Hawaii, USA","The @CDCgov's pivot on the COVID-19 vaccine was from ""so you don't get it"" to ""so if you get it, it won't be as life threatening."" 
#COVID19 #maskless or #masklife ? https://t.co/TXlgfrLON3",2021-05-15 19:33:38,"covid19,maskless,masklife"
Domi Levato,,"How to get the COVID vaccine... Like a Boss! https://t.co/3nXHl1vpfy 

#covid19 #MarbleArch #FACupFinal #FACup",2021-05-15 19:32:07,"covid19,marblearch,facupfinal,facup"
The Twelfth imam,,"Imam #Sajjad(s): If everyone from the #east to the #west was to die,  I would not feel lonely if I had the #Quran with me.

#Jesus #Science #vaccine #Warzone
#quotes #Bible #sport
#leadership #Politics #coronavirus
#justice #COVID19 #quote
#Xbox #Covid_19
https://t.co/YkbLULzx0x https://t.co/D5iX02pJCt",2021-05-15 19:31:33,"sajjad,east,west,quran,jesus,science,vaccine,warzone,quotes,bible,sport,leadership,politics,coronavirus,justice,covid19,quote,xbox,covid_19"
Department of Health,"Pierre, SD","Looking for #COVID19 #Vaccine information? We’ve got you covered. Find all the information you’re looking for at https://t.co/cUkKZ91JFz 

#SoDakVax #WeCanDoThis https://t.co/rqbslIRvPh",2021-05-15 19:30:13,"covid19,vaccine,sodakvax,wecandothis"
Center for Optimizing Rural Health,"College Station, TX","#Ruralhospitals are raising alarms about the pace of #COVID19 vaccinations, even among their own employees. President Biden plans to move to a new phase of the vaccination campaign that involves more local #healthcare professionals. https://t.co/FOzGVA345t",2021-05-15 19:30:07,"ruralhospitals,covid19,healthcare"
Research News,,"COVID-19 vaccine does not damage the placenta in pregnancy #COVID19 #vaccine #placenta #pregnancy #NorthwesternMedicine #science #newspaper

Read more about this here: https://t.co/N8QIlFLcRW https://t.co/twNEmrjUlf",2021-05-15 19:30:03,"covid19,vaccine,placenta,pregnancy,northwesternmedicine,science,newspaper"
